Lake Name,Lat/Lon,Volume,Area,Length,Width,Mean Depth,Max Depth (QGIS),Max Depth,Ramp Angle,Break Dist,Break Depth
BechungTsho,28.099 90.230,4.30E+06,4.40E+05,1312,458,9.77,34.6,34.6,17.3,21,1.704
Bencoguoco,30.356 93.528,1.70E+06,1.20E+05,319,291,14.17,34.5,156.4,11.30993247,100,20
Bielongco,30.520 93.445,9.40E+07,1.15E+06,2033,717,81.74,176,175.5,10.97154886,815,158
Cirenmaco,28.067 86.066,1.24E+07,3.30E+05,1336,368,37.58,88,188.7,26.74,285,69.92
GalongCo,28.318 85.842,3.77E+08,5.47E+06,4584,1420,68.99,201.09,198.8,6.519801752,700,80
Guangxieco,29.464 96.501,2.60E+06,3.50E+05,1005,306,7.43,30.87,31.3,,,
JialongCo,28.212 85.847,3.66E+07,6.20E+05,1442,696,59.03,133.92,134,10.62614551,533,100
Jinwongco,30.360 93.631,1.60E+06,2.60E+05,1447,184,6.15,17.12,229.9,1.368769547,321,7.67
LuggyeTsho,28.092 90.298,7.18E+07,1.70E+06,3429,553,42.24,93.37,95,11.28744414,245,48.9
Maqiongco,30.497 93.355,3.20E+06,2.10E+05,906,335,15.24,33.4,33.5,8.53076561,40,6
PoiquNo1,28.138 85.919,2.80E+06,1.10E+05,437,269,25.45,76.09,75.1,11.71959909,188,39
Ranzeriaco,30.469 93.533,3.90E+06,2.90E+05,1131,308,13.45,36.228,36,1.114139435,489,9.51
RaphstrengTsho,28.103 90.246,5.82E+07,1.34E+06,2098,812,43.43,109,110.1,6.6034951,666,77.1
Rewuco,30.350 93.506,1.39E+07,4.20E+05,723,673,33.10,63.65,230.1,18.57572441,122,41
ShishapangmaNo1,28.442 85.780,1.86E+07,5.50E+05,1405,466,33.82,93.1,92.5,5.710593137,200,20
Talongco,30.439 93.630,1.70E+06,1.20E+05,760,204,14.17,27.488,238.8,9.317086069,128,21
